orderNumber,occurrenceID,family,verbatimScientificName,identificationQualifier,genus,species,subspecies,author,eventDate,year,basisOfRecord,lifeStage,organismQuantity,organismQuantityType,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,locality,municipality,stateProvince,island,islandGroup,country,countryCode,recordedBy,determinavit (det.),identificationRemarks,occurrenceRemarks,kingdom,scientificName,rankmarker,taxon_id,language,license,rightsHolder,datasetID,institutionCode,datasetName,taxonID,taxonRank,nomenclaturalCode
21,WL:SNAIL:GC:OCC:00020,Geomitridae,Xerotricha conspurcata,,Xerotricha,conspurcata,,"(Draparnaud, 1801)",04/08/2016,2016,HumanObservation,,,estimate count,28.063725,-15.46271,25,Jardín Botánico Viera y Clavijo (Botanical garden Tafira Alta),Las Palmas de Gran Canaria,Las Palmas,Gran Canaria,Canary Islands,Spain,ES,Ward Langeraert,Ward Langeraert,,empty shell,Animalia,Xerotricha conspurcata,sp.,checklist_snails_grancanaria:taxon:f2c1623a9c2d988346365d8b2428f4f6,en,http://creativecommons.org/publicdomain/zero/1.0/,UGent,my_dataset_doi,UGent,Land and freshwater molluscs of Gran Canaria (Spain),checklist_snails_grancanaria:taxon:f2c1623a9c2d988346365d8b2428f4f6,species,ICZN
22,WL:SNAIL:GC:OCC:00021,Helicidae,Hemicycla cf. gaudryi,cf.,Hemicycla,cf. gaudryi,,,04/08/2016,2016,HumanObservation,adult,4,exact count,28.063725,-15.46271,25,Jardín Botánico Viera y Clavijo (Botanical garden Tafira Alta),Las Palmas de Gran Canaria,Las Palmas,Gran Canaria,Canary Islands,Spain,ES,Ward Langeraert,Ward Langeraert,shells are old but lack granulation (unlike in H. ethelema),empty shell,Animalia,Hemicycla gaudryi,sp.,checklist_snails_grancanaria:taxon:ca9a905b3bd8d7f47bdc4a72a447cf9f,en,http://creativecommons.org/publicdomain/zero/1.0/,UGent,my_dataset_doi,UGent,Land and freshwater molluscs of Gran Canaria (Spain),checklist_snails_grancanaria:taxon:ca9a905b3bd8d7f47bdc4a72a447cf9f,species,ICZN
23,WL:SNAIL:GC:OCC:00022,Helicidae,Hemicycla glasiana,,Hemicycla,glasiana,,"(Shuttleworth, 1852)",04/08/2016,2016,HumanObservation,adult,1,exact count,28.063725,-15.46271,25,Jardín Botánico Viera y Clavijo (Botanical garden Tafira Alta),Las Palmas de Gran Canaria,Las Palmas,Gran Canaria,Canary Islands,Spain,ES,Ward Langeraert,Ward Langeraert,,alive,Animalia,Hemicycla glasiana,sp.,checklist_snails_grancanaria:taxon:67ee0a8700bdfa2b78c8dcb7ecc82931,en,http://creativecommons.org/publicdomain/zero/1.0/,UGent,my_dataset_doi,UGent,Land and freshwater molluscs of Gran Canaria (Spain),checklist_snails_grancanaria:taxon:67ee0a8700bdfa2b78c8dcb7ecc82931,species,ICZN
24,WL:SNAIL:GC:OCC:00023,Helicidae,Hemicycla glasiana,,Hemicycla,glasiana,,"(Shuttleworth, 1852)",04/08/2016,2016,HumanObservation,adult,1,exact count,28.063725,-15.46271,25,Jardín Botánico Viera y Clavijo (Botanical garden Tafira Alta),Las Palmas de Gran Canaria,Las Palmas,Gran Canaria,Canary Islands,Spain,ES,Ward Langeraert,Ward Langeraert,,empty shell,Animalia,Hemicycla glasiana,sp.,checklist_snails_grancanaria:taxon:67ee0a8700bdfa2b78c8dcb7ecc82931,en,http://creativecommons.org/publicdomain/zero/1.0/,UGent,my_dataset_doi,UGent,Land and freshwater molluscs of Gran Canaria (Spain),checklist_snails_grancanaria:taxon:67ee0a8700bdfa2b78c8dcb7ecc82931,species,ICZN
25,WL:SNAIL:GC:OCC:00024,Helicidae,Otala lactea,,Otala,lactea,,"(O.F. Müller, 1774)",04/08/2016,2016,HumanObservation,adult,1,exact count,28.063725,-15.46271,25,Jardín Botánico Viera y Clavijo (Botanical garden Tafira Alta),Las Palmas de Gran Canaria,Las Palmas,Gran Canaria,Canary Islands,Spain,ES,Ward Langeraert,Ward Langeraert,,empty shell,Animalia,Otala lactea,sp.,checklist_snails_grancanaria:taxon:385a77c6ebbb70834066e69625246546,en,http://creativecommons.org/publicdomain/zero/1.0/,UGent,my_dataset_doi,UGent,Land and freshwater molluscs of Gran Canaria (Spain),checklist_snails_grancanaria:taxon:385a77c6ebbb70834066e69625246546,species,ICZN
26,WL:SNAIL:GC:OCC:00025,Helicidae,Theba geminata,,Theba,geminata,,"(Mousson, 1857)",04/08/2016,2016,HumanObservation,adult,11,exact count,28.063725,-15.46271,25,Jardín Botánico Viera y Clavijo (Botanical garden Tafira Alta),Las Palmas de Gran Canaria,Las Palmas,Gran Canaria,Canary Islands,Spain,ES,Ward Langeraert,Ward Langeraert,,empty shell,Animalia,Theba geminata,sp.,checklist_snails_grancanaria:taxon:020c50c709c3ef929fd8a44f4734af1e,en,http://creativecommons.org/publicdomain/zero/1.0/,UGent,my_dataset_doi,UGent,Land and freshwater molluscs of Gran Canaria (Spain),checklist_snails_grancanaria:taxon:020c50c709c3ef929fd8a44f4734af1e,species,ICZN
27,WL:SNAIL:GC:OCC:00026,Helicidae,Theba geminata,,Theba,geminata,,"(Mousson, 1857)",04/08/2016,2016,HumanObservation,juvenile,2,exact count,28.063725,-15.46271,25,Jardín Botánico Viera y Clavijo (Botanical garden Tafira Alta),Las Palmas de Gran Canaria,Las Palmas,Gran Canaria,Canary Islands,Spain,ES,Ward Langeraert,Ward Langeraert,,empty shell,Animalia,Theba geminata,sp.,checklist_snails_grancanaria:taxon:020c50c709c3ef929fd8a44f4734af1e,en,http://creativecommons.org/publicdomain/zero/1.0/,UGent,my_dataset_doi,UGent,Land and freshwater molluscs of Gran Canaria (Spain),checklist_snails_grancanaria:taxon:020c50c709c3ef929fd8a44f4734af1e,species,ICZN
28,WL:SNAIL:GC:OCC:00027,Lauriidae,Lauria cylindracea,,Lauria,cylindracea,,"(da Costa, 1778)",04/08/2016,2016,HumanObservation,,,estimate count,28.063725,-15.46271,25,Jardín Botánico Viera y Clavijo (Botanical garden Tafira Alta),Las Palmas de Gran Canaria,Las Palmas,Gran Canaria,Canary Islands,Spain,ES,Ward Langeraert,Ward Langeraert,,empty shell,Animalia,Lauria cylindracea,sp.,checklist_snails_grancanaria:taxon:2961d32c4460cef228616ee6114b82cc,en,http://creativecommons.org/publicdomain/zero/1.0/,UGent,my_dataset_doi,UGent,Land and freshwater molluscs of Gran Canaria (Spain),checklist_snails_grancanaria:taxon:2961d32c4460cef228616ee6114b82cc,species,ICZN
29,WL:SNAIL:GC:OCC:00028,Pomatiidae,Pomatias adjunctus,,Pomatias,adjunctus,,"(Mousson, 1872)",04/08/2016,2016,HumanObservation,adult,13,exact count,28.063725,-15.46271,25,Jardín Botánico Viera y Clavijo (Botanical garden Tafira Alta),Las Palmas de Gran Canaria,Las Palmas,Gran Canaria,Canary Islands,Spain,ES,Ward Langeraert,Ward Langeraert,,empty shell,Animalia,Pomatias adjunctus,sp.,checklist_snails_grancanaria:taxon:5f9454cef8f3dba48433d497d3f14cee,en,http://creativecommons.org/publicdomain/zero/1.0/,UGent,my_dataset_doi,UGent,Land and freshwater molluscs of Gran Canaria (Spain),checklist_snails_grancanaria:taxon:5f9454cef8f3dba48433d497d3f14cee,species,ICZN
30,WL:SNAIL:GC:OCC:00029,Pomatiidae,Pomatias adjunctus,,Pomatias,adjunctus,,"(Mousson, 1872)",04/08/2016,2016,HumanObservation,juvenile,1,exact count,28.063725,-15.46271,25,Jardín Botánico Viera y Clavijo (Botanical garden Tafira Alta),Las Palmas de Gran Canaria,Las Palmas,Gran Canaria,Canary Islands,Spain,ES,Ward Langeraert,Ward Langeraert,,empty shell,Animalia,Pomatias adjunctus,sp.,checklist_snails_grancanaria:taxon:5f9454cef8f3dba48433d497d3f14cee,en,http://creativecommons.org/publicdomain/zero/1.0/,UGent,my_dataset_doi,UGent,Land and freshwater molluscs of Gran Canaria (Spain),checklist_snails_grancanaria:taxon:5f9454cef8f3dba48433d497d3f14cee,species,ICZN
