orderNumber,occurrenceID,family,scientificName,genus,species,subspecies,author,eventDate,year,state,individualCount,juvenileCount,adultCount,countMethod,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,locality,municipality,stateProvince,island,islandGroup,country,countryCode,recordedBy,basisOfRecord,disposition,etiket_ref,collection,determinavit (det.),occurrenceRemarks
65,,Trissexodontidae,Oestophora cf. silvae,Oestophora,cf. silvae,,,30/07/2015,2015,empty shell,2,2,0,exact,43.399888,-4.761092,50,Between La Pareda and Soberron,Llanes,Asturias,,,Spain,ES,Ward Langeraert,HumanObservation,Y,,Ward Langeraert,Ward Langeraert,"only two old, subadult shells"
66,,Elonidae,Elona quimperiana,Elona,quimperiana,,"(Blainville, 1821)",30/07/2015,2015,empty shell,,,,,43.399888,-4.761092,50,Between La Pareda and Soberron,Llanes,Asturias,,,Spain,ES,Ward Langeraert,HumanObservation,Y,,Ward Langeraert,Ward Langeraert,
67,,Trissexodontidae,Oestophorella buvinieri,Oestophorella,buvinieri,,"(Michaud, 1841)",30/07/2015,2015,empty shell,,,,,43.399888,-4.761092,50,Between La Pareda and Soberron,Llanes,Asturias,,,Spain,ES,Ward Langeraert,HumanObservation,Y,,Ward Langeraert,Ward Langeraert,
68,,Hydrobiidae,Alzoniella spec.,Alzoniella,,,,30/07/2015,2015,empty shell,1,0,1,exact,43.403603,-4.700519,100,Río de Purón (near Puente Rio Puron),Llanes,Asturias,,,Spain,ES,Ward Langeraert,HumanObservation,Y,,Ward Langeraert,Ward Langeraert,"based on shell dimensions, figures and maps shown in Arconada et al. (2007) perhaps A. cantabrica (Boeters, 1983) or A. pellitica Arconada, Rolán & Boeters, 2007"
69,,Neritidae,Theodoxus fluviatilis,Theodoxus,fluviatilis,,"(Linnaeus, 1758)",30/07/2015,2015,empty shell,10,1,9,exact,43.403603,-4.700519,100,Río de Purón (near Puente Rio Puron),Llanes,Asturias,,,Spain,ES,Ward Langeraert,HumanObservation,Y,,Ward Langeraert,Ward Langeraert,
70,,Tateidae,Potamopyrgus antipodarum,Potamopyrgus,antipodarum,,"(Gray, 1843)",30/07/2015,2015,empty shell,1,0,1,exact,43.403603,-4.700519,100,Río de Purón (near Puente Rio Puron),Llanes,Asturias,,,Spain,ES,Ward Langeraert,HumanObservation,Y,,Ward Langeraert,Ward Langeraert,f. carinata
71,,Planorbidae,Ancylus fluviatilis,Ancylus,fluviatilis,,"O. F. Müller, 1774",30/07/2015,2015,empty shell,30,,,estimate,43.403603,-4.700519,100,Río de Purón (near Puente Rio Puron),Llanes,Asturias,,,Spain,ES,Ward Langeraert,HumanObservation,Y,,Ward Langeraert,Ward Langeraert,
72,,Helicidae,Theba pisana,Theba,pisana,,"(O. F. Müller, 1774)",09/09/2019,2019,alive,10,,,estimate,43.46482086,-3.780885458,25,Santander (beside Playa de los Peligros),Santander,Cantabria,,,Spain,ES,Ward Langeraert,HumanObservation,N,,,Ward Langeraert,
73,,Helicidae,Theba pisana,Theba,pisana,,"(O. F. Müller, 1774)",10/09/2019,2019,alive,2,0,2,exact,43.46482086,-3.780885458,25,Santander (beside Playa de los Peligros),Santander,Cantabria,,,Spain,ES,Ward Langeraert,HumanObservation,Y,1,Ward Langeraert,Ward Langeraert,
74,,Helicidae,Cepaea nemoralis,Cepaea,nemoralis,,"(Linnaeus, 1758)",09/09/2019,2019,empty shell,1,0,1,exact,43.46482086,-3.780885458,25,Santander (beside Playa de los Peligros),Santander,Cantabria,,,Spain,ES,Ward Langeraert,HumanObservation,N,,,Ward Langeraert,
75,,Pomatiidae,Pomatias elegans,Pomatias,elegans,,"(O. F. Müller, 1774)",09/09/2019,2019,alive,5,,,estimate,43.46482086,-3.780885458,25,Santander (beside Playa de los Peligros),Santander,Cantabria,,,Spain,ES,Ward Langeraert,HumanObservation,N,,,Ward Langeraert,
76,,Helicidae,Cornu aspersum,Cornu,aspersum,,"(O. F. Müller, 1774)",09/09/2019,2019,empty shell,1,0,1,exact,43.46482086,-3.780885458,25,Santander (beside Playa de los Peligros),Santander,Cantabria,,,Spain,ES,Ward Langeraert,HumanObservation,N,,,Ward Langeraert,
77,,Hygromiidae,Hygromia limbata,Hygromia,limbata,,"(Draparnaud, 1805)",09/09/2019,2019,empty shell,12,2,10,exact,43.46482086,-3.780885458,25,Santander (beside Playa de los Peligros),Santander,Cantabria,,,Spain,ES,Ward Langeraert,HumanObservation,Y,1,Ward Langeraert,Ward Langeraert,
78,,Arionidae,Arion rufus/vulgaris,Arion,rufus/vulgaris,,"(Linnaeus, 1758)/Moquin-Tandon, 1855",09/09/2019,2019,alive,2,0,2,exact,43.14308365,-4.8128192,25,Fuente Dé,Camaleño,Cantabria,,,Spain,ES,Ward Langeraert,HumanObservation,N,,,Ward Langeraert,large black Arion
79,,Arionidae,Arion spec. 1,Arion,,,,10/09/2019,2019,alive,1,0,1,exact,43.1429628,-4.81798822,25,Fuente Dé,Camaleño,Cantabria,,,Spain,ES,Ward Langeraert,HumanObservation,N,,,Ward Langeraert,large blue-grey Arion
80,,Hygromiidae,Mengoana jeschaui,Mengoana,jeschaui,,"(Kobelt, 1878)",10/09/2019,2019,onbekend,1,0,1,exact,43.14199066,-4.812840462,25,Fuente Dé,Camaleño,Cantabria,,,Spain,ES,Ward Langeraert,HumanObservation,N,,,Ward Langeraert,
81,,Trissexodontidae,Oestophorella buvinieri,Oestophorella,buvinieri,,"(Michaud, 1841)",10/09/2019,2019,onbekend,1,0,1,exact,43.14312363,-4.812231064,25,Fuente Dé,Camaleño,Cantabria,,,Spain,ES,Ward Langeraert,HumanObservation,N,,,Ward Langeraert,
